task_id,title,tier_merged,chain_steps,solve_frac,best_progress,models_solved,models_attempted,custom-uqr30dxk,glm-5p2,gpt-oss-120b,gpt-oss-20b,qwen3.6-27b-b2f04w5c,qwen3.6-35b-a3b-cm948u2s
task_081,Human Agent Transfer Policy: 4 Requests Trigger Transfer,hard,33,0.0,0.545,0,4,0.00,,,0.00,0.00,0.00
task_082,"Debit Card Dispute Flow: 4 Disputes Across 2 Cards, Multiple Categories",hard,15,0.0,0.733,0,5,0.00,0.00,,0.00,0.00,0.00
task_083,"Debit Card Dispute Flow #2: Non-Rho-Bank ATM, Discretionary Credit, PIN Shared, Duplicate Charge",hard,10,0.0,0.6,0,5,0.00,0.00,,0.00,0.00,0.00
task_084,"Debit Card Dispute Flow #3: Dispute Limit Enforcement, Late Reporting Liability Tier 2",hard,12,0.0,0.75,0,4,,0.00,,0.00,0.00,0.00
task_085,Debit Card Dispute Verification Test: User Misremembers Amounts,hard,10,0.0,0.7,0,4,,0.00,,0.00,0.00,0.00
task_086,"Comprehensive Debit Card Dispute Mega-Test: 6 Disputes, Limits, Tiers, ATM Deposit, Verification",hard,18,0.0,0.722,0,4,,0.00,,0.00,0.00,0.00
task_087,CODE 05 Decline: Multi-Card Multi-Issue (Freeze + Velocity Block + Fraud Alert),medium,20,0.2,1.0,1,5,0.00,1.00,,0.00,0.00,0.00
task_088,"CODE 61/51/82 Decline Diagnosis: Check Hold, Chip Failure (Fraud), Stolen Report Escalation",hard,17,0.0,0.706,0,5,0.00,0.00,,0.00,0.00,0.00
task_089,CODE 61 (ATM Withdrawal Limit): Temporary Limit Increase with Eligibility Verification,hard,13,0.0,0.923,0,5,0.00,0.00,,0.00,0.00,0.00
task_090,Three-Card PIN Lock Investigation with Fraud Risk Scoring,hard,16,0.0,0.625,0,5,0.00,0.00,,0.00,0.00,0.00
task_091,"Four-Card PIN Lock with Fraud Disputes, D3 Flag, and Boundary Cases",hard,25,0.0,0.6,0,3,,0.00,,0.00,,0.00
task_092,"Single Flag Escalation (A1 International), Rapid Velocity (B3), Medium Risk with Alert, and Security Hold Accept",hard,21,0.0,0.571,0,5,0.00,0.00,,0.00,0.00,0.00
task_093,Savings Account APY Investigation - Missing Checking Boost & Relationship Bonus,medium,9,0.4,1.0,2,5,0.00,1.00,,0.00,0.00,0.50
task_094,Gold Savings APY with Credit Card Bonuses and Stacking Policy,hard,9,0.0,0.778,0,5,0.00,0.00,,0.00,0.00,0.00
task_095,Gold Savings APY with Wrong Accounts Selected by System,medium,9,0.25,1.0,1,4,0.00,1.00,,,0.00,0.00
task_096,Dual Savings APY with Different Optimal Credit Cards per Account Type,hard,12,0.0,0.667,0,4,0.00,0.00,,0.00,0.00,
task_097,Quad Savings APY Investigation - Four Complex Accounts with Customer Misestimates,hard,18,0.0,0.556,0,2,,0.00,,,0.00,
task_098,Checking Account Referral Optimization with Rolling Window Edge Case,hard,3,0.0,1.0,0,4,,0.00,,0.00,0.00,0.00
task_099,"Business Checking Referral: No Account Type Restriction, Highest Referrer Bonus Only",medium,5,0.25,1.0,1,4,0.00,0.00,,,0.00,0.50
task_100,Business Account Referral: Tenure Eligibility Trap (Owns Account but Can't Refer It),medium,4,0.25,1.0,1,4,,1.00,,0.00,0.00,0.00
task_101,Multi-Referral with Rolling Window: Coverage Test with Annual Limits,hard,4,0.0,0.75,0,3,,0.00,,,0.00,0.00
task_102,Verification Trap: User Provides Incorrect Information (Non-Deceptive Misremembering),super_hard,3,0.0,0.0,0,1,,0.00,,,,
